nohup: ignoring input

===== Training representation=graph, n_qubits=2 =====
Epoch 068 | train_loss=0.380696 | val_loss=0.359791 | val_rmse=0.908507 | lr=5.00e-04
Epoch 069 | train_loss=0.378262 | val_loss=0.375178 | val_rmse=0.927731 | lr=5.00e-04
Epoch 070 | train_loss=0.377790 | val_loss=0.361921 | val_rmse=0.911192 | lr=5.00e-04
Epoch 071 | train_loss=0.377104 | val_loss=0.364634 | val_rmse=0.914601 | lr=5.00e-04
Epoch 072 | train_loss=0.375190 | val_loss=0.362363 | val_rmse=0.911748 | lr=5.00e-04
Epoch 073 | train_loss=0.374031 | val_loss=0.356573 | val_rmse=0.904436 | lr=5.00e-04
Epoch 074 | train_loss=0.373425 | val_loss=0.360633 | val_rmse=0.909570 | lr=5.00e-04
Epoch 075 | train_loss=0.370185 | val_loss=0.361532 | val_rmse=0.910703 | lr=5.00e-04
Epoch 076 | train_loss=0.368453 | val_loss=0.359742 | val_rmse=0.908445 | lr=5.00e-04
Epoch 077 | train_loss=0.367368 | val_loss=0.362571 | val_rmse=0.912011 | lr=5.00e-04
Epoch 078 | train_loss=0.367960 | val_loss=0.356842 | val_rmse=0.904776 | lr=5.00e-04
Epoch 079 | train_loss=0.369385 | val_loss=0.355397 | val_rmse=0.902943 | lr=5.00e-04
Epoch 080 | train_loss=0.367899 | val_loss=0.363114 | val_rmse=0.912693 | lr=5.00e-04
Epoch 081 | train_loss=0.362041 | val_loss=0.354611 | val_rmse=0.901943 | lr=5.00e-04
Epoch 082 | train_loss=0.366852 | val_loss=0.359187 | val_rmse=0.907744 | lr=5.00e-04
Epoch 083 | train_loss=0.361648 | val_loss=0.362225 | val_rmse=0.911575 | lr=5.00e-04
Epoch 084 | train_loss=0.361073 | val_loss=0.351857 | val_rmse=0.898434 | lr=5.00e-04
Epoch 085 | train_loss=0.363516 | val_loss=0.357674 | val_rmse=0.905830 | lr=5.00e-04
Epoch 086 | train_loss=0.359638 | val_loss=0.350470 | val_rmse=0.896661 | lr=5.00e-04
Epoch 087 | train_loss=0.354388 | val_loss=0.352992 | val_rmse=0.899882 | lr=5.00e-04
